ts,pfcp_messages_total__direction_Outgoing__message_type_Association Setup Request__result_Success,upf_jitter_ns__iface_Access__quantile_100.0,upf_jitter_ns__iface_Access__quantile_50.0,upf_jitter_ns__iface_Access__quantile_75.0,upf_jitter_ns__iface_Access__quantile_90.0,upf_jitter_ns__iface_Access__quantile_95.0,upf_jitter_ns__iface_Access__quantile_99.0,upf_jitter_ns__iface_Access__quantile_99.9,upf_jitter_ns__iface_Access__quantile_99.99,upf_jitter_ns__iface_Access__quantile_99.999,upf_jitter_ns__iface_Access__quantile_99.9999,upf_jitter_ns__iface_Core__quantile_100.0,upf_jitter_ns__iface_Core__quantile_50.0,upf_jitter_ns__iface_Core__quantile_75.0,upf_jitter_ns__iface_Core__quantile_90.0,upf_jitter_ns__iface_Core__quantile_95.0,upf_jitter_ns__iface_Core__quantile_99.0,upf_jitter_ns__iface_Core__quantile_99.9,upf_jitter_ns__iface_Core__quantile_99.99,upf_jitter_ns__iface_Core__quantile_99.999,upf_jitter_ns__iface_Core__quantile_99.9999,upf_latency_ns__iface_Access__quantile_100.0,upf_latency_ns__iface_Access__quantile_50.0,upf_latency_ns__iface_Access__quantile_75.0,upf_latency_ns__iface_Access__quantile_90.0,upf_latency_ns__iface_Access__quantile_95.0,upf_latency_ns__iface_Access__quantile_99.0,upf_latency_ns__iface_Access__quantile_99.9,upf_latency_ns__iface_Access__quantile_99.99,upf_latency_ns__iface_Access__quantile_99.999,upf_latency_ns__iface_Access__quantile_99.9999,upf_latency_ns__iface_Core__quantile_100.0,upf_latency_ns__iface_Core__quantile_50.0,upf_latency_ns__iface_Core__quantile_75.0,upf_latency_ns__iface_Core__quantile_90.0,upf_latency_ns__iface_Core__quantile_95.0,upf_latency_ns__iface_Core__quantile_99.0,upf_latency_ns__iface_Core__quantile_99.9,upf_latency_ns__iface_Core__quantile_99.99,upf_latency_ns__iface_Core__quantile_99.999,upf_latency_ns__iface_Core__quantile_99.9999
2026-06-10 07:49:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:50:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:50:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:51:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:51:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:52:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:52:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:53:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:53:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:54:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
